id,car_name,car_brand,car_tag,price,new_price,complexOutlook,firstCert,odograph,allPower,carBelong,range,isDome,wheelBase,drivingMode
116395316,小鹏汽车G3 2019款 智享版,小鹏汽车,小鹏汽车G3,94800,192996,8成新,2019-06,3.6万公里,145kW,天津(津),351km,1,2610,前置前驱
116146846,荣威eRX5 2017款 ERX5 EV400 电动互联网至尊版,荣威,荣威eRX5,75800,322167,7成新,2017-12,5.6万公里,85kW,北京(京),320km,1,2700,前置前驱
115775426,荣威MARVEL X 2018款 后驱版,荣威,荣威MARVEL X,155200,291774,95成新,2021-04,400公里,137kW,嘉兴(浙),403km,1,2800,双电机后驱
116375379,欧拉好猫 2021款 500km长续航 波塞冬版 三元锂,欧拉,欧拉好猫,123000,156199,9成新,2021-06,2.6万公里,105kW,广州(粤),501km,1,2650,前置前驱
115814873,奇瑞eQ1 2018款 小蚂蚁400 智享版 4座,奇瑞,奇瑞eQ1,41600,71423,8成新,2019-03,3.2万公里,30kW,厦门(闽),301km,1,2150,后置后驱
116220057,比亚迪e2 2020款 升级版 标准续航版 标准型,比亚迪,比亚迪e2,73000,97475,9成新,2021-03,0.2万公里,70kW,遂宁(川),305km,1,2610,前置前驱
116276288,理想汽车 理想ONE 2020款 增程7座版,理想,理想ONE,260000,356034,9成新,2020-07,5.3万公里,240kW,邯郸(冀),180km,1,2935,双电机四驱
116515467,北汽新能源 EU系列 2017款 EU260 乐享版,北汽新能源,EU系列,51800,234352,9成新,2017-05,1.9万公里,100kW,北京(京),260km,1,2650,前置前驱
116224297,威马汽车 威马EX5 2019款 EX5 Extra创新版400,威马汽车,威马EX5,90000,184312,8成新,2019-04,2.7万公里,160kW,合肥(皖),400km,1,2703,前置前驱
116415139,大众 ID.4 CROZZ 2021款 长续航PRO两驱版,大众,ID.4 CROZZ,194000,260404,99成新,2021-04,0.6万公里,150kW,重庆(渝),550km,0,2765,后置后驱
